name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
agentops,,https://www.agentops.ai/,,https://twitter.com/AgentOpsAI,https://www.crunchbase.com/organization/agentops,,,opensource,,,,AgentOps is the toolkit for evaluating and developing robust and reliable AI agents.,,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Airbyte,,https://airbyte.com,logos/4a490f6c25a90c22bd8fe7978008b9e820db0c069f11747baa2894e62c7ac8da.svg,https://twitter.com/AirbyteHQ,https://www.crunchbase.com/organization/airbyte-b3bb,,,opensource,,,,Airbyte an open-source data integration platform with built-in connectors for AI data pipelines.,,,,,,,,,,,,Data Management,ETL & Data Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
Airtrain AI,,https://airtrain.ai,logos/1cd3c94240b272771be349f70e1f8796cd23d698204946e3f792408ece8919e7.svg,https://twitter.com/AirtrainAI,https://www.crunchbase.com/organization/sematic-2bbe,,,,,,,"Airtrain AI offers a LLM playground with a wide variety of open-source and proprietary models, a batch evaluation tool to compare models across entire datasets, and a no-code fine-tuning tool. All no-code, SaaS hosted, free to start.",,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Anyscale Endpoints,,https://www.anyscale.com/endpoints,logos/6d862380e43c41dab4c693ff75baf4079a31fb696210088dc7c3e68fa343cb8f.svg,https://twitter.com/raydistributed,https://www.crunchbase.com/organization/anyscale,,,,,,,"Run, Fine Tune and Scale LLMs via production-ready APIs",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
arcee,,https://www.arcee.ai/,logos/fdf713d62bd34b83039256098778ec02ceff51ba7a14cf6c6029278acd0ff595.svg,https://twitter.com/arcee_ai,https://www.crunchbase.com/organization/arcee-ai,,,,,,,"Arcee's proprietary SLM domain adaptative language model system helps you adapt and align your AI to your data, leading to more efficient and accurate training of your own SLMs.",,,,,,,,,,,,Runtime,Finetuning & RLHF,,,,,,,,,,,,,,,,,,,,,,,,
BANANA,,https://www.banana.dev/,logos/b1eb21e7d264065737d1f7cf71b31f8219ba8cf9d08553300ecc6374b77f8d4c.svg,https://twitter.com/bananadev_,https://www.crunchbase.com/organization/banana-d87d,,,,,,,Inference hosting for AI teams who ship fast and scale faster.,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
bark,,https://www.suno.ai/,logos/0602f19501948f7589e823ea1786d226f2bee88fdc01d9015811854b283c33c4.svg,https://twitter.com/suno_ai_,https://www.crunchbase.com/organization/suno-279f,,,opensource,,,,Text-Prompted Generative Audio Model,,,,,,,,,,,,Foundation Model,Audio,,,,,,,,,,,,,,,,,,,,,,,,
baserun,,https://baserun.ai/welcome,logos/600cb1e3b4df7f2692b9704c40b9bb24bc1786eb6ceacaedc8f3a31d06b28189.svg,https://twitter.com/baserunai,,,,,,,,An end-to-end platform for teams to bring LLM applications into production,,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
bentoml,,https://bentoml.com/,logos/acd25ed4c1475c97474aa4fc02750103596ed7861bf7a6b8b98769b3b2f681b4.svg,https://twitter.com/bentomlai,https://www.crunchbase.com/organization/bentoml,,,opensource,,,,BentoML is the platform for software engineers to build AI products.,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
chat2db,,https://chat2db.ai/,,https://twitter.com/chat2_db,,,,opensource,,,,Improve your SQL skills and save time using AI by generating optimized SQL queries effortlessly!,,,,,,,,,,,,Data Management,AI in DB,,,,,,,,,,,,,,,,,,,,,,,,
ChatGPT,,https://openai.com/product,logos/d28776eddb56f913fc12dbee1374fc13bcd6fa18bc441461e82135188f6e4fe7.svg,https://twitter.com/openai,,,,,,,,OpenAI GPT,,,,,,,,,,,,Foundation Model,LLM,,,,,,,,,,,,,,,,,,,,,,,,
chroma,,https://www.trychroma.com/,logos/72ab4b87bf0384e3f6103172bf8287a8b0431e187253a1c382bf0fa1e97007a6.svg,https://twitter.com/weaviate_io,https://www.crunchbase.com/organization/chroma-4a75,,,opensource,,,,the AI-native open-source embedding database,,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
claude,,https://claude.ai/,logos/61bec08e634340750a25e90a9cd91eb586f9218d3c6037a4bf47f574e85bbcd4.svg,https://twitter.com/AnthropicAI,,,,,,,,"A next-generation AI assistant for your tasks, no matter the scale",,,,,,,,,,,,Foundation Model,LLM,,,,,,,,,,,,,,,,,,,,,,,,
Cleanlab,,https://cleanlab.ai/,logos/aaaf607bb487549e3c08f7220a13105bd90c5e768ae4227a8a04e6ed2f22ce94.svg,https://twitter.com/CleanlabAI,https://www.crunchbase.com/organization/cleanlab,,,opensource,,,,"cleanlab helps you clean data and labels by automatically detecting issues in a ML dataset. To facilitate machine learning with messy, real-world data, this data-centric AI package uses your existing models to estimate dataset problems that can be fixed to train even better models.",,,,,,,,,,,,Data Management,AI in DB,,,,,,,,,,,,,,,,,,,,,,,,
Cloudflare AI Gateway,,https://developers.cloudflare.com/ai-gateway/,logos/285ee717bc45bc4cefd9a789c5516b23576a444950ed9bd69b52ee40f966d1ac.svg,,,,,,,,,"AI Gateway – the portal to making your AI applications more observable, reliable, and scalable.",,,,,,,,,,,,Orchestration,Gateway & Router,,,,,,,,,,,,,,,,,,,,,,,,
ComfyUI,,https://github.com/comfyanonymous/ComfyUI,,https://twitter.com/stabilityai,https://www.crunchbase.com/organization/stability-ai,,,opensource,,,,This UI allows for the design and execution of stable diffusion pipelines using a graph/nodes/flowchart based interface.,,,,,,,,,,,,Application Development,IDE & Workspace,,,,,,,,,,,,,,,,,,,,,,,,
ConfidentialMind,,https://www.confidentialmind.com/,logos/eee681287bf845de45b9232a98d854f312cdc143bad206ffab90233b73c643c7.svg,https://twitter.com/ConfiMind,,,,,,,,"Stack for integrating generative AI with your most confidential data. Deploy to on-premises, hybrid- or private cloud environments.",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
CoreWeave,,https://www.coreweave.com/,logos/c52567cb4307f8a86d713fe8557b24978be703600ddc4b2ad639f9c6a6b3c089.svg,https://twitter.com/CoreWeave,https://www.crunchbase.com/organization/coreweave,,,,,,,"CoreWeave is a specialized cloud provider, delivering a massive scale of GPUs on top of the industry’s fastest and most flexible infrastructure.",,,,,,,,,,,,Hardware & Cloud,Cloud Provider,,,,,,,,,,,,,,,,,,,,,,,,
DataSpark AI,,https://ai.dataspark.org/,logos/f8acd0c310eb78a1d4516e0f30071c8443459c8caf30d5f4f5dcbb1da7bed994.svg,https://twitter.com/datasparkapp,https://www.crunchbase.com/organization/dataspark-ai,,,,,,,"DataSpark is a framework that offers AI Agents as-a-service, enabling enterprises to combine the power of multiple agents in one single platform.",,,,,,,,,,,,Application Development,Agent & Prompt Framework,,,,,,,,,,,,,,,,,,,,,,,,
